CHG1AY3,constant,CONTROL,default,EFYTOTLT,gr,INSTNM,lat,linked_name,lon,netprice,online,ownership,ownershipcolor,popup,RET_PCF,salary,SATMT75,SATVR75,selectivity,testing,testingcolors,TestScoresRequired,totsize,type,typecolors,netprice_trimmed,size_trimmed,totsize_trimmed,tuition
15980.0,1.0,3,18.0,836,NA,Antonelli College-Jackson,32.328918,<a href='http://www.antonellicollege.edu' target='_blank'>Antonelli College-Jackson</a>,-90.12297,23299,,Private for-profit,#D95F02,"<a href='http://www.antonellicollege.edu' target='_blank'>Antonelli College-Jackson</a><br/>Associate's Colleges, Private for-profit, <br/>Undergrad size: 836 (90% women)<br/>Total size: 836<br/>Tuition and fees: $15,980<br/>Avg net price: $23,299<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 38%<br/>Median salary (6yrs after): $17,000<br/>Default rate: 18%",38,17e3,NA,NA,NA,NA,NA,NA,836,Associate's Colleges,#E7298A,23299.0,836.0,836.0,15980.0
2730.0,1.0,1,25.1,4059,NA,Copiah-Lincoln Community College,31.69006,<a href='http://www.colin.edu' target='_blank'>Copiah-Lincoln Community College</a>,-90.399133,3795,,Public,#1B9E77,"<a href='http://www.colin.edu' target='_blank'>Copiah-Lincoln Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 4,059 (63% women)<br/>Total size: 4,059<br/>Tuition and fees: $2,730<br/>Avg net price: $3,795<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 68%<br/>Median salary (6yrs after): $22,200<br/>Default rate: 25%",68,22200.0,NA,NA,NA,NA,NA,NA,4059,Associate's Colleges,#E7298A,3795.0,4059.0,4059.0,2730.0
6112.0,1.0,1,10.299999999999999,3147,34.0,Delta State University,33.747586,<a href='http://www.deltastate.edu' target='_blank'>Delta State University</a>,-90.73544,12883,,Public,#1B9E77,"<a href='http://www.deltastate.edu' target='_blank'>Delta State University</a><br/>Master's Colleges, Public, <br/>Undergrad size: 3,147 (60% women)<br/>Total size: 5,975<br/>Tuition and fees: $6,112<br/>Avg net price: $12,883<br/>SAT math (25th-75th pctile): 470-560<br/>SAT verbal (25th-75th pctile): 390-520<br/>Admit rate: 87%<br/>Graduation rate: 34%<br/>First-year retention: 62%<br/>Median salary (6yrs after): $27,500<br/>Default rate: 10%",62,27500.0,560,520,13.0,Required,#66C2A5,TRUE,5975,Master's Colleges,#D95F02,12883.0,3147.0,3147.0,6112.0
2190.0,1.0,1,18.9,3086,NA,East Central Community College,32.444493,<a href='http://www.eccc.edu' target='_blank'>East Central Community College</a>,-89.108475,5345,,Public,#1B9E77,"<a href='http://www.eccc.edu' target='_blank'>East Central Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 3,086 (60% women)<br/>Total size: 3,086<br/>Tuition and fees: $2,190<br/>Avg net price: $5,345<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 65%<br/>Median salary (6yrs after): $22,000<br/>Default rate: 19%",65,22e3,NA,NA,NA,NA,NA,NA,3086,Associate's Colleges,#E7298A,5345.0,3086.0,3086.0,2190.0
2840.0,1.0,1,20.9,7084,NA,East Mississippi Community College,32.830246,<a href='http://www.eastms.edu/' target='_blank'>East Mississippi Community College</a>,-88.483516,5499,,Public,#1B9E77,"<a href='http://www.eastms.edu/' target='_blank'>East Mississippi Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 7,084 (58% women)<br/>Total size: 7,084<br/>Tuition and fees: $2,840<br/>Avg net price: $5,499<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 69%<br/>Median salary (6yrs after): $21,000<br/>Default rate: 21%",69,21e3,NA,NA,NA,NA,NA,NA,7084,Associate's Colleges,#E7298A,5499.0,7084.0,7084.0,2840.0
2600.0,1.0,1,23.7,16306,NA,Hinds Community College,32.258205,<a href='http://www.hindscc.edu' target='_blank'>Hinds Community College</a>,-90.412527,4502,,Public,#1B9E77,"<a href='http://www.hindscc.edu' target='_blank'>Hinds Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 16,306 (61% women)<br/>Total size: 16,306<br/>Tuition and fees: $2,600<br/>Avg net price: $4,502<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 47%<br/>Median salary (6yrs after): $20,800<br/>Default rate: 24%",47,20800.0,NA,NA,NA,NA,NA,NA,16306,Associate's Colleges,#E7298A,4502.0,16306.0,16306.0,2600.0
2360.0,1.0,1,19.400000000000002,8720,NA,Holmes Community College,32.969985,<a href='http://www.holmescc.edu' target='_blank'>Holmes Community College</a>,-89.915803,5231,,Public,#1B9E77,"<a href='http://www.holmescc.edu' target='_blank'>Holmes Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 8,720 (66% women)<br/>Total size: 8,720<br/>Tuition and fees: $2,360<br/>Avg net price: $5,231<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 58%<br/>Median salary (6yrs after): $22,300<br/>Default rate: 19%",58,22300.0,NA,NA,NA,NA,NA,NA,8720,Associate's Colleges,#E7298A,5231.0,8720.0,8720.0,2360.0
2420.0,1.0,1,23.3,7610,NA,Itawamba Community College,34.276275,<a href='http://www.iccms.edu' target='_blank'>Itawamba Community College</a>,-88.412927,6070,,Public,#1B9E77,"<a href='http://www.iccms.edu' target='_blank'>Itawamba Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 7,610 (60% women)<br/>Total size: 7,610<br/>Tuition and fees: $2,420<br/>Avg net price: $6,070<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 70%<br/>Median salary (6yrs after): $22,500<br/>Default rate: 23%",70,22500.0,NA,NA,NA,NA,NA,NA,7610,Associate's Colleges,#E7298A,6070.0,7610.0,7610.0,2420.0
6886.0,1.0,1,12.7,8338,40.0,Jackson State University,32.296781,<a href='http://www.jsums.edu' target='_blank'>Jackson State University</a>,-90.20663,12755,,Public,#1B9E77,"<a href='http://www.jsums.edu' target='_blank'>Jackson State University</a><br/>Doctoral Universities, Public, <br/>Undergrad size: 8,338 (62% women)<br/>Total size: 11,069<br/>Tuition and fees: $6,886<br/>Avg net price: $12,755<br/>SAT math (25th-75th pctile): 410-510<br/>SAT verbal (25th-75th pctile): 400-510<br/>Admit rate: 68%<br/>Graduation rate: 40%<br/>First-year retention: 78%<br/>Median salary (6yrs after): $23,500<br/>Default rate: 13%",78,23500.0,510,510,32.0,Required,#66C2A5,TRUE,11069,Doctoral Universities,#1B9E77,12755.0,8338.0,8338.0,6886.0
2722.0,1.0,1,21.099999999999998,6204,NA,Jones County Junior College,31.597162,<a href='http://www.jcjc.edu' target='_blank'>Jones County Junior College</a>,-89.199694,6291,,Public,#1B9E77,"<a href='http://www.jcjc.edu' target='_blank'>Jones County Junior College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 6,204 (59% women)<br/>Total size: 6,204<br/>Tuition and fees: $2,722<br/>Avg net price: $6,291<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 50%<br/>Median salary (6yrs after): $21,700<br/>Default rate: 21%",50,21700.0,NA,NA,NA,NA,NA,NA,6204,Associate's Colleges,#E7298A,6291.0,6204.0,6204.0,2722.0
2430.0,1.0,1,22.1,4516,NA,Meridian Community College,32.368097,<a href='http://www.meridiancc.edu' target='_blank'>Meridian Community College</a>,-88.733604,6888,,Public,#1B9E77,"<a href='http://www.meridiancc.edu' target='_blank'>Meridian Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 4,516 (69% women)<br/>Total size: 4,516<br/>Tuition and fees: $2,430<br/>Avg net price: $6,888<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 51%<br/>Median salary (6yrs after): $20,200<br/>Default rate: 22%",51,20200.0,NA,NA,NA,NA,NA,NA,4516,Associate's Colleges,#E7298A,6888.0,4516.0,4516.0,2430.0
35510.0,1.0,2,5.4,785,66.0,Millsaps College,32.3231,<a href='http://www.millsaps.edu' target='_blank'>Millsaps College</a>,-90.178084,22512,,Private non-profit,#7570B3,"<a href='http://www.millsaps.edu' target='_blank'>Millsaps College</a><br/>Baccalaureate Colleges, Private non-profit, <br/>Undergrad size: 785 (50% women)<br/>Total size: 890<br/>Tuition and fees: $35,510<br/>Avg net price: $22,512<br/>SAT math (25th-75th pctile): 525-630<br/>SAT verbal (25th-75th pctile): 520-630<br/>Admit rate: 53%<br/>Graduation rate: 66%<br/>First-year retention: 78%<br/>Median salary (6yrs after): $34,300<br/>Default rate: 5%",78,34300.0,630,630,47.0,Required,#66C2A5,TRUE,890,Baccalaureate Colleges,#7570B3,22512.0,785.0,785.0,35510.0
2520.0,1.0,1,NA,3972,NA,Mississippi Delta Community College,33.444906,<a href='http://www.msdelta.edu/' target='_blank'>Mississippi Delta Community College</a>,-90.502053,3098,,Public,#1B9E77,"<a href='http://www.msdelta.edu/' target='_blank'>Mississippi Delta Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 3,972 (61% women)<br/>Total size: 3,972<br/>Tuition and fees: $2,520<br/>Avg net price: $3,098<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 53%<br/>Median salary (6yrs after): $18,400<br/>Default rate: NA%",53,18400.0,NA,NA,NA,NA,NA,NA,3972,Associate's Colleges,#E7298A,3098.0,3972.0,3972.0,2520.0
7444.0,1.0,1,8.0,19947,61.0,University of Mississippi,34.362144,<a href='http://www.olemiss.edu' target='_blank'>University of Mississippi</a>,-89.539377,14918,,Public,#1B9E77,"<a href='http://www.olemiss.edu' target='_blank'>University of Mississippi</a><br/>Doctoral Universities, Public, <br/>Undergrad size: 19,947 (56% women)<br/>Total size: 24,919<br/>Tuition and fees: $7,444<br/>Avg net price: $14,918<br/>SAT math (25th-75th pctile): 500-600<br/>SAT verbal (25th-75th pctile): 490-600<br/>Admit rate: 79%<br/>Graduation rate: 61%<br/>First-year retention: 87%<br/>Median salary (6yrs after): $33,600<br/>Default rate: 8%",87,33600.0,600,600,21.0,Required,#66C2A5,TRUE,24919,Doctoral Universities,#1B9E77,14918.0,19947.0,19947.0,7444.0
5781.0,1.0,1,7.5,3033,49.0,Mississippi University for Women,33.493305,<a href='http://www.muw.edu' target='_blank'>Mississippi University for Women</a>,-88.418601,10930,,Public,#1B9E77,"<a href='http://www.muw.edu' target='_blank'>Mississippi University for Women</a><br/>Master's Colleges, Public, <br/>Undergrad size: 3,033 (82% women)<br/>Total size: 3,272<br/>Tuition and fees: $5,781<br/>Avg net price: $10,930<br/>SAT math (25th-75th pctile): 580-660<br/>SAT verbal (25th-75th pctile): 410-490<br/>Admit rate: 96%<br/>Graduation rate: 49%<br/>First-year retention: 75%<br/>Median salary (6yrs after): $28,400<br/>Default rate: 8%",75,28400.0,660,490,4.0,Required,#66C2A5,TRUE,3272,Master's Colleges,#D95F02,10930.0,3033.0,3033.0,5781.0
5936.0,1.0,1,16.400000000000002,2197,22.0,Mississippi Valley State University,33.514142,<a href='http://www.mvsu.edu' target='_blank'>Mississippi Valley State University</a>,-90.341274,4695,,Public,#1B9E77,"<a href='http://www.mvsu.edu' target='_blank'>Mississippi Valley State University</a><br/>Master's Colleges, Public, <br/>Undergrad size: 2,197 (58% women)<br/>Total size: 2,603<br/>Tuition and fees: $5,936<br/>Avg net price: $4,695<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: 76%<br/>Graduation rate: 22%<br/>First-year retention: 66%<br/>Median salary (6yrs after): $19,700<br/>Default rate: 16%",66,19700.0,NA,NA,24.0,Required,#66C2A5,TRUE,2603,Master's Colleges,#D95F02,4695.0,2197.0,2197.0,5936.0
